ticker,signal_date,entry_date,exit_date,entry_price,exit_price,shares,dollars_in,dollars_out,pnl,return_pct,headline
COP,2022-03-01,2022-03-02,2022-03-16,98.37,95.2,508.2850462539392,50049.99999999999,48340.34766697164,-1709.6523330283526,-3.4158887772794264,"Targa (TRGP) Earnings Miss, Revenues Beat Estimates in Q4"
TECK,2022-03-01,2022-03-02,2022-03-16,37.43,38.32,1333.1578920678578,49950.00000000001,51035.52381361627,1085.5238136162661,2.1732208480806126,"Verso (VRS) Q4 Revenues and Earnings Beat Estimates, Up Y/Y"
CLFD,2022-03-29,2022-03-30,2022-04-13,71.0,59.36,1398.2618997986228,99375.87148058791,82917.8255456742,-16458.04593491371,-16.56141042056534,Plantronics (POLY) to be Acquired by HP for $40 Per Share in Cash
ATI,2022-04-14,2022-04-18,2022-05-02,30.4,27.22,2724.8352156289175,82917.8255456742,74095.84455484971,-8821.980990824493,-10.639426363110571,Air Products (APD) Buys Air Liquide's Gas Units in UAE & Bahrain
BP,2022-05-03,2022-05-04,2022-05-18,31.55,31.88,587.1303055059407,18542.48509985114,18698.996425389858,156.51132553871867,0.8440687679990379,"BP Beats Q1 Earnings Estimates, Announces Share Buyback"
DVN,2022-05-03,2022-05-04,2022-05-18,65.48,73.0,282.8949471397744,18542.48509985114,20630.679810062327,2088.194710211188,11.26167662514639,"Devon Energy (DVN) Q1 Earnings Beat Estimates, Sales Miss"
IMXI,2022-05-03,2022-05-04,2022-05-18,20.0,19.41,926.1980569356214,18542.48509985114,17959.52678083529,-582.9583190158482,-3.1439060939060877,Fidelity National Information Services (FIS) Q1 Earnings and Revenues Beat Estimates
MOS,2022-05-03,2022-05-04,2022-05-18,68.34,64.91,269.9727731340403,18468.389255296293,17506.408771426424,-961.9804838698692,-5.208794717135367,Institutional And Retail Traders Differ On Their Bets On Mosaic Earnings
DLNG,2022-05-25,2022-05-26,2022-06-10,4.18,3.8,8946.843515276782,37435.2036997508,33964.00735269372,-3471.196347057077,-9.27254563618198,What's in the Offing for Marvell (MRVL) This Earnings Season?
DY,2022-05-25,2022-05-26,2022-06-10,95.68,94.8,390.0824101479947,37360.40808796309,36942.83266954787,-417.5754184152247,-1.1176950140160826,Dycom Industries (DY) Q1 Earnings and Revenues Beat Estimates
TH,2022-07-08,2022-07-11,2022-07-25,7.64,12.52,9271.728274636567,70906.84002224158,115965.95596045136,45059.11593820978,63.5469242799086,This Low-Float Stock Jumps Around 148%; Here's 64 Biggest Movers From Yesterday
JAKK,2022-07-25,2022-07-26,2022-08-09,17.48,23.23,3317.104003445405,58040.9609582059,76979.26967403672,18938.308715830826,32.62921289237081,"Activision Blizzard, Inc (ATVI) Expected to Beat Earnings Estimates: Can the Stock Move Higher?"
SIGA,2022-07-25,2022-07-26,2022-08-09,15.15,22.2,3819.6124009485875,57924.995002245465,84710.59990575758,26785.604903512118,46.241876934946255,This Technology Stock Surged 235%; Here Are 77 Biggest Movers From Friday
HRB,2022-08-10,2022-08-11,2022-08-25,45.4,46.46,1780.7254359008182,80925.77972468703,82649.77124820006,1723.991523513032,2.1303366237287116,"H&R Block's (HRB) Q4 Earnings Beat Estimates, Increase YoY"
SMCI,2022-08-10,2022-08-11,2022-08-25,6.453,7.1483,12503.239802984443,80764.08985510726,89287.53217459001,8523.442319482754,10.55350507233353,"Why Plug Power Is Trading Higher By Around 14%, Here Are 73 Stocks Moving In Wednesday's Mid-Day Session"
GSAT,2022-09-06,2022-09-07,2022-09-21,32.55,25.2,5276.975050227503,171937.30342279008,132846.79149446732,-39090.511928322754,-22.73532918694208,"CoStar Group, Brigham Minerals And Some Other Big Stocks Moving Higher In Today's Pre-Market Session"
GIS,2022-09-21,2022-09-22,2022-10-06,80.19,76.99,1654.995353747977,132846.79149446732,127290.6741927717,-5556.117301695631,-4.182349636895089,General Mills (GIS) Q1 Earnings and Revenues Beat Estimates
PARR,2022-10-20,2022-10-21,2022-11-04,22.12,23.99,5748.802472065534,127290.6741927717,137775.8575335473,10485.183340775606,8.23719679958378,Par Pacific Announces Acquisition of ExxonMobil Billings Refinery and Associated Marketing and Logistics Assets
DVN,2022-11-03,2022-11-04,2022-11-18,72.91,69.02,944.8351222983631,68956.81669554042,65147.30762089199,-3809.5090746484275,-5.524485115762016,Murphy Oil (MUR) Q3 Earnings and Revenues Beat Estimates
GLP,2022-11-03,2022-11-04,2022-11-18,34.0,30.41,2022.0673690429244,68819.04083800688,61429.57762390274,-7389.463214104144,-10.737527178703637,Can Global Partners (GLP) Maintain Earnings Beat Run in Q3?
ARDX,2022-11-17,2022-11-18,2022-12-05,1.805,1.86,70055.64255400818,126576.88524479473,130173.19165530478,3596.3064105100493,2.8412031182114603,Why NetEase Shares Are Trading Lower; Here Are 25 Stocks Moving Premarket
ASO,2022-12-07,2022-12-08,2022-12-22,56.63,50.29,1149.330669744877,65151.68242348004,57742.039542088394,-7409.642881391643,-11.372911037399824,"Academy Sports and Outdoors, Inc. (ASO) Q3 Earnings Beat Estimates"
REPL,2022-12-07,2022-12-08,2022-12-22,23.26,26.4,2792.6290919667067,65021.50923182474,73651.68261989312,8630.173388068382,13.272797709599072,Replimune Enters into Clinical Collaboration Agreement with Roche for the Development of RP3 In Colorectal Cancer and Hepatocellular Carcinoma
TGS,2022-12-21,2022-12-22,2023-01-09,10.28,12.17,12768.721760922106,131393.7221619815,155239.9484865916,23846.226324610092,18.14868011366067,Preliminary Result of Mandatory Offer to Acquire All Shares in Magseis Fairfield ASA
AEHR,2023-01-06,2023-01-09,2023-01-24,23.53,33.83,6590.941930427906,155239.9484865916,222748.5939408697,67508.6454542781,43.48664510160473,Why Spruce Biosciences Shares Are Trading Higher By 100%? Here Are Other Stocks Moving In Friday's Mid-Day Session
PCAR,2023-01-24,2023-01-25,2023-02-08,73.8667,73.5,3012.5356604937915,222748.5939408697,221199.94967524736,-1548.6442656223371,-0.6952431161174631,PACCAR (PCAR) Ends 2022 on Strong Note With Q4 Earnings Beat
ASC,2023-02-07,2023-02-08,2023-02-23,16.4,18.03,1926.8288299237577,31631.59280356037,34705.98307972183,3074.3902761614627,9.719365999853848,Ardmore Shipping (ASC) Reports Next Week: Wall Street Expects Earnings Growth
BP,2023-02-07,2023-02-08,2023-02-23,38.13,39.71,828.7435827629064,31631.59280356037,32876.4982638435,1244.9054602831347,3.9356394981886957,"BP, Hertz Global, Take-Two Interactive Software And Other Big Stocks Moving Higher On Tuesday"
CRTO,2023-02-07,2023-02-08,2023-02-23,32.5,34.25,972.3074710999884,31631.59280356037,33268.229354289426,1636.6365507290575,5.174056712518258,"BP, Hertz Global, Take-Two Interactive Software And Other Big Stocks Moving Higher On Tuesday"
PRGS,2023-02-07,2023-02-08,2023-02-23,57.46,57.82,549.9476646493147,31631.59280356037,31766.17599605335,134.58319249298074,0.4254708048651677,Progress Completes Acquisition of MarkLogic
STNG,2023-02-07,2023-02-08,2023-02-23,54.55,59.91,579.2849277864276,31631.59280356037,34670.25506366119,3038.662260100824,9.606415582584257,Dow Turns Higher; Crude Oil Rises Over 3%
TKR,2023-02-07,2023-02-08,2023-02-23,85.01,85.91,371.7208894335916,31631.59280356037,31902.60706962861,271.01426606824316,0.8567834941202788,"Timken (TKR) Earnings Beat Estimates in Q4, Increase Y/Y"
ULH,2023-02-07,2023-02-08,2023-02-23,44.01,30.62,712.9973606008883,31410.392853885136,21810.147202417604,-9600.245651467532,-30.563914612994353,"BP, Hertz Global, Take-Two Interactive Software And Other Big Stocks Moving Higher On Tuesday"
TOL,2023-02-22,2023-02-23,2023-03-09,58.34,59.5,1894.068358155772,110610.44796282255,112584.37024295818,1973.9222801356227,1.784571273772511,Toll Brothers (TOL) Stock Rises on Q1 Earnings & Revenue Beat
WIX,2023-02-22,2023-02-23,2023-03-09,92.31,93.04,1194.6611298656167,110389.44806679296,111040.12025117429,650.6721843813284,0.5894333161151675,"WIX Q4 Earnings & Revenues Beat Estimates, Increase Y/Y"
PMTS,2023-03-08,2023-03-09,2023-03-23,40.5,41.48,2760.796178939907,111924.05749231328,114403.3076769249,2479.250184611621,2.215118215118221,"Mesoblast, Arlo Technologies, CPI Card Group And Other Big Stocks Moving Higher On Wednesday"
TMCI,2023-03-08,2023-03-09,2023-03-23,24.41,23.91,4571.4397442712625,111700.43300181917,109193.82116124037,-2506.6118405788,-2.244048454617877,"Mesoblast, Arlo Technologies, CPI Card Group And Other Big Stocks Moving Higher On Wednesday"
AIR,2023-03-22,2023-03-23,2023-04-06,55.5,53.22,4024.7523438393187,223597.12883816526,213983.1224193894,-9614.006418775854,-4.299700299700299,AAR Corp. (AIR) Acquires Trax USA Corp. for $120M Plus Earn-Out
TGTX,2023-04-10,2023-04-11,2023-04-25,19.4401,22.65,5503.652821214639,107098.55277090438,124533.07866411105,17434.525893206664,16.278955636777873,Why Tupperware Brands Shares Are Trading Lower By Over 40%? Here Are Other Stocks Moving In Monday's Mid-Day Session
YPF,2023-04-10,2023-04-11,2023-04-25,12.47,11.32,8562.77400614502,106884.56964848502,96833.67114781209,-10050.898500672934,-9.403507478888368,Gold Down Over 1%; US Wholesale Inventories Increase 0.1%
MLTX,2023-04-24,2023-04-25,2023-05-09,23.91,27.06,4629.16666273365,110794.05828086751,125139.98464367898,14345.926362811471,12.948281329711703,Why IDEAYA Biosciences Shares Are Trading Higher By Around 27%? Here Are Other Stocks Moving In Monday's Mid-Day Session
TNK,2023-04-24,2023-04-25,2023-05-09,42.13,37.2,2621.9375576015636,110572.69153105562,97438.54106563539,-13134.150465420229,-11.87829497822376,US Stocks Turn Lower; Nasdaq Dips 100 Points
AXSM,2023-05-08,2023-05-09,2023-05-23,77.73,74.83,1431.7414493073097,111400.55211751183,107030.07543901431,-4370.476678497522,-3.923209172147807,"Axsome Therapeutics Clocks Better Than Expected Q1 Sales, Depression Drug Sees Improved Coverage"
ENR,2023-05-08,2023-05-09,2023-05-23,34.85,34.67,3186.9987571052347,111177.97359180255,110382.75366192966,-795.2199298728956,-0.7152675158414016,"Energizer (ENR) Q2 Earnings Beat Estimates, Sales Dip Y/Y"
NVGS,2023-05-23,2023-05-24,2023-06-08,14.71,13.3,14765.168828516418,217412.82910094399,196180.36867384912,-21232.460427094862,-9.765964830546734,Why CohBar Shares Are Trading Lower By 161%? Here Are Other Stocks Moving In Tuesday's Mid-Day Session
MOMO,2023-06-07,2023-06-08,2023-06-23,9.16,9.31,5354.2677039805985,49094.137260630734,49798.384091735315,704.2468311045814,1.4344825480196932,"Momo's (MOMO) Q1 Earnings Beat Estimates, Revenues Fall Y/Y"
SMCI,2023-06-07,2023-06-08,2023-06-23,24.063,22.234,2038.1952445024428,49094.137260630734,45271.915833201056,-3822.2214274296784,-7.785494644988436,Why Couchbase Shares Are Trading Lower By Around 19%? Here Are Other Stocks Moving In Wednesday's Mid-Day Session
SYM,2023-06-07,2023-06-08,2023-06-23,40.0,41.06,1226.127304211557,49094.137260630734,50294.44232381561,1200.3050631848746,2.4449050949051214,Why Couchbase Shares Are Trading Lower By Around 19%? Here Are Other Stocks Moving In Wednesday's Mid-Day Session
YEXT,2023-06-07,2023-06-08,2023-06-23,13.35,11.61,3659.1091973163125,48897.956891956936,42439.775523061544,-6458.181368895392,-13.207466690612746,Nasdaq Drops Over 100 Points; Campbell Soup Earnings Beat Estimates
ROIV,2023-06-22,2023-06-23,2023-07-10,10.0,10.83,18761.69008709426,187804.51777181352,202985.9145395876,15181.396767774073,8.083616383616391,"Steelcase, Commercial Metals And Other Big Stocks Moving Higher On Thursday"
RIOT,2023-07-07,2023-07-10,2023-07-24,15.75,17.62,12875.119454487583,202985.9145395876,226632.74518328317,23646.830643695575,11.6494933637791,Why iMedia Brands Shares Are Trading Lower By 11%? Here Are Other Stocks Moving In Friday's Mid-Day Session
FOR,2023-07-21,2023-07-24,2023-08-07,27.25,30.93,2772.2659961257878,75619.79264282214,85660.44107291044,10040.648430088302,13.2778047640433,"Scholastic, Matson, Digital World Acquisition And Other Big Stocks Moving Higher On Friday"
MATX,2023-07-21,2023-07-24,2023-08-07,87.69,96.06,861.4921700812831,75619.79264282214,82672.18292015004,7052.390277327897,9.326116921053622,"Scholastic, Matson, Digital World Acquisition And Other Big Stocks Moving Higher On Friday"
VRCA,2023-07-21,2023-07-24,2023-08-07,57.2,52.9,1316.7454904822257,75393.15989763889,69586.18061006322,-5806.979287575668,-7.7022627721928485,Verrica Pharmaceuticals Announces FDA Approval of YCANTH™ (cantharidin) topical solution as the First FDA approved Treatment of Pediatric and Adult Patients with Molluscum Contagiosum
AAOI,2023-08-04,2023-08-07,2023-08-21,11.07,13.49,3070.3162292311745,34022.38905824669,41377.14736639622,7354.758308149525,21.617406983260643,Why BigCommerce Holdings Shares Are Trading Higher By 20%; Here Are 20 Stocks Moving Premarket
DKNG,2023-08-04,2023-08-07,2023-08-21,32.51,26.87,1045.4752586154755,34022.38905824669,28063.828278798832,-5958.56077944786,-17.5136459971895,Why BigCommerce Holdings Shares Are Trading Higher By 20%; Here Are 20 Stocks Moving Premarket
FSLY,2023-08-04,2023-08-07,2023-08-21,21.1,19.1,1610.8246757151232,34022.38905824669,30735.984554852697,-3286.4045033939947,-9.659534778018191,Why Fastly Popped 19% This Week
HTGC,2023-08-04,2023-08-07,2023-08-21,17.68,16.41,1922.4208516735919,34022.38905824669,31515.37924978768,-2507.0098084590136,-7.368705954678803,Hercules Capital (HTGC) Gains on Q2 Earnings & Revenue Beat
KTOS,2023-08-04,2023-08-07,2023-08-21,16.65,15.15,2041.3453848401866,34022.38905824669,30895.4561977485,-3126.932860498193,-9.190809190809178,Why ResMed Shares Are Trading Lower By 15%? Here Are Other Stocks Moving In Friday's Mid-Day Session
NET,2023-08-04,2023-08-07,2023-08-21,67.3,59.42,505.0282415689317,34022.38905824669,29978.7693359119,-4043.6197223347917,-11.885172776703222,"Cloudflare (NET) Q2 Earnings & Sales Beat Expectations, Up Y/Y"
SHAK,2023-08-04,2023-08-07,2023-08-21,79.35,69.39,425.33988070711405,33784.4702536436,29484.81998794438,-4299.650265699223,-12.726706186063442,"Shake Shack (SHAK) Q2 Earnings Beat, Revenues Lag Estimates"
ACHR,2023-08-21,2023-08-22,2023-09-06,7.25,6.3,10209.259079146676,74091.14545213719,64254.013866425434,-9837.131585711759,-13.277067759826355,Why Super League Gaming Are Trading Lower By Around 46%? Here Are Other Stocks Moving In Monday's Mid-Day Session
NVDA,2023-08-21,2023-08-22,2023-09-06,48.135,48.441,1537.6987290706013,74091.14545213719,74413.1764707741,322.03101863690244,0.434641706065854,"Palo Alto Networks earnings, outlook top Street expectations as SEC cyberattack reporting rule drives demand"
PR,2023-08-21,2023-08-22,2023-09-06,13.38,14.5,5515.3437046634845,73869.0940671658,79892.5112339029,6023.417166737097,8.154177660904137,"Permian Resources building scale with $4.5 billion Earthstone Energy deal, analysts say"
AUR,2023-09-05,2023-09-06,2023-09-20,3.6,3.07,20237.009404731703,72926.08709089116,62065.4912536538,-10860.595837237357,-14.892607392607385,"Brady, Airbnb, Insmed And Other Big Stocks Moving Higher On Tuesday"
INSM,2023-09-05,2023-09-06,2023-09-20,26.77,26.39,2721.450648376322,72926.08709089116,71747.26352804048,-1178.823562850681,-1.6164634767548387,"Brady, Airbnb, Insmed And Other Big Stocks Moving Higher On Tuesday"
OLMA,2023-09-05,2023-09-06,2023-09-20,12.68,12.7,5728.303824670607,72707.52738932012,72676.70911474338,-30.818274576740805,-0.04238663544659015,Olema Oncology Announces Combined Financing for Up to $180 Million
HQY,2023-09-19,2023-09-20,2023-10-04,71.11,73.08,2900.9025554172686,206489.46389643766,211785.9607911441,5296.496894706448,2.56502041061177,Inogen (INGN) Completes Buyout Deal to Expand Product Portfolio
PCAR,2023-10-04,2023-10-05,2023-10-19,86.35,83.86,2450.195557669246,211785.9607911441,205267.92606667685,-6518.034724467259,-3.0776519369454887,Will Paccar (PCAR) Beat Estimates Again in Its Next Earnings Report?
NFLX,2023-10-19,2023-10-20,2023-11-03,40.563,42.876,5055.416591560619,205267.92606667685,216539.28573797332,11271.359671296465,5.491047669880587,Why Netflix Shares Are Trading Higher By Around 14%; Here Are 20 Stocks Moving Premarket
CNQ,2023-11-02,2023-11-03,2023-11-17,33.88,32.38,2130.4534212708904,72251.94167457042,68915.09769897068,-3336.8439755997388,-4.618345055180939,Canadian Natural Resources (CNQ) Q3 Earnings and Revenues Beat Estimates
LPG,2023-11-02,2023-11-03,2023-11-17,37.63,37.49,1918.1440848434167,72251.94167457042,71839.31051903892,-412.6311555315042,-0.5711004382277143,Dorian LPG (LPG) Q2 Earnings and Revenues Beat Estimates
ROKU,2023-11-02,2023-11-03,2023-11-17,79.45,89.13,905.7701567008511,72035.40238883249,80650.5627726801,8615.160383847615,11.959619989827678,Plot Twist: Roku Stock Turns the Corner
INTC,2023-11-16,2023-11-17,2023-12-04,42.91,43.3,1719.9174317617471,73875.45865389345,74397.95237048836,522.4937165949086,0.7072629072163082,Intel Upgraded To Buy - Analyst Highlights Strong Gains from Upcoming Server Products And Foundry Growth
UTI,2023-11-16,2023-11-17,2023-12-04,11.25,11.94,6560.147288613028,73875.45865389345,78249.8304674135,4374.371813520047,5.921278721278714,Why Children's Place Shares Are Trading Lower By Around 25%? Here Are Other Stocks Moving In Thursday's Mid-Day Session
WSM,2023-11-16,2023-11-17,2023-12-04,86.57,97.27,849.953485152976,73654.05368290281,82592.30052532913,8938.24684242632,12.135444548520674,"Stocks Turn Red As Jobless Claims Rise, Gold Rallies, Oil Plummets: What's Driving Markets Thursday?"
PATH,2023-12-01,2023-12-04,2023-12-18,24.26,25.0,4848.311693388931,117737.66172329709,121086.58454238856,3348.922819091473,2.8443938584086994,UiPath’s stock heads for its best day yet as company’s AI prowess wins praise
